game_id,tournament_slug,stage,round_number,packet_checksum,question_id,attempt_index,team_id,player_id,result,is_end,location_kind,word_index,option_index,token
20260222T202510Z_sy25jed,stanford-college-plus-science-bowl,double_elim,1,fc08179ada02bafdb20aebca0f506fcf18f7e5c20ee6ff24a49c60f650a82a1a,1,0,team__where_is_the_goal_keeper,player__daniel_lu,incorrect,1,end,,,END
20260222T202510Z_sy25jed,stanford-college-plus-science-bowl,double_elim,1,fc08179ada02bafdb20aebca0f506fcf18f7e5c20ee6ff24a49c60f650a82a1a,3,0,team__where_is_the_goal_keeper,player__saahil_dugar,correct,0,question,40,,physical
20260222T202510Z_sy25jed,stanford-college-plus-science-bowl,double_elim,1,fc08179ada02bafdb20aebca0f506fcf18f7e5c20ee6ff24a49c60f650a82a1a,4,0,team__where_is_the_goal_keeper,,correct,1,end,,,BONUS
20260222T202510Z_sy25jed,stanford-college-plus-science-bowl,double_elim,1,fc08179ada02bafdb20aebca0f506fcf18f7e5c20ee6ff24a49c60f650a82a1a,5,0,team__university_of_alabama_birmingham,player__akhil_batchu,incorrect,0,question,19,,solar
20260222T202510Z_sy25jed,stanford-college-plus-science-bowl,double_elim,1,fc08179ada02bafdb20aebca0f506fcf18f7e5c20ee6ff24a49c60f650a82a1a,5,1,team__where_is_the_goal_keeper,player__daniel_lu,correct,1,end,,,END
20260222T202510Z_sy25jed,stanford-college-plus-science-bowl,double_elim,1,fc08179ada02bafdb20aebca0f506fcf18f7e5c20ee6ff24a49c60f650a82a1a,6,0,team__where_is_the_goal_keeper,,correct,1,end,,,BONUS
20260222T202510Z_sy25jed,stanford-college-plus-science-bowl,double_elim,1,fc08179ada02bafdb20aebca0f506fcf18f7e5c20ee6ff24a49c60f650a82a1a,7,0,team__university_of_alabama_birmingham,player__akhil_batchu,incorrect,0,question,9,,planes
20260222T202510Z_sy25jed,stanford-college-plus-science-bowl,double_elim,1,fc08179ada02bafdb20aebca0f506fcf18f7e5c20ee6ff24a49c60f650a82a1a,7,1,team__where_is_the_goal_keeper,player__daniel_lu,correct,1,end,,,END
20260222T202510Z_sy25jed,stanford-college-plus-science-bowl,double_elim,1,fc08179ada02bafdb20aebca0f506fcf18f7e5c20ee6ff24a49c60f650a82a1a,8,0,team__where_is_the_goal_keeper,,correct,1,end,,,BONUS
20260222T202510Z_sy25jed,stanford-college-plus-science-bowl,double_elim,1,fc08179ada02bafdb20aebca0f506fcf18f7e5c20ee6ff24a49c60f650a82a1a,9,0,team__where_is_the_goal_keeper,player__isaac_mammel,correct,1,end,,,END
20260222T202510Z_sy25jed,stanford-college-plus-science-bowl,double_elim,1,fc08179ada02bafdb20aebca0f506fcf18f7e5c20ee6ff24a49c60f650a82a1a,10,0,team__where_is_the_goal_keeper,,correct,1,end,,,BONUS
20260222T202510Z_sy25jed,stanford-college-plus-science-bowl,double_elim,1,fc08179ada02bafdb20aebca0f506fcf18f7e5c20ee6ff24a49c60f650a82a1a,11,0,team__university_of_alabama_birmingham,player__akhil_batchu,correct,0,option,0,2,Variable
20260222T202510Z_sy25jed,stanford-college-plus-science-bowl,double_elim,1,fc08179ada02bafdb20aebca0f506fcf18f7e5c20ee6ff24a49c60f650a82a1a,12,0,team__university_of_alabama_birmingham,,correct,1,end,,,BONUS
20260222T202510Z_sy25jed,stanford-college-plus-science-bowl,double_elim,1,fc08179ada02bafdb20aebca0f506fcf18f7e5c20ee6ff24a49c60f650a82a1a,13,0,team__university_of_alabama_birmingham,player__advik_sharma,correct,0,question,4,,filaments
20260222T202510Z_sy25jed,stanford-college-plus-science-bowl,double_elim,1,fc08179ada02bafdb20aebca0f506fcf18f7e5c20ee6ff24a49c60f650a82a1a,14,0,team__university_of_alabama_birmingham,,correct,1,end,,,BONUS
20260222T202510Z_sy25jed,stanford-college-plus-science-bowl,double_elim,1,fc08179ada02bafdb20aebca0f506fcf18f7e5c20ee6ff24a49c60f650a82a1a,15,0,team__university_of_alabama_birmingham,player__advik_sharma,correct,1,end,,,END
20260222T202510Z_sy25jed,stanford-college-plus-science-bowl,double_elim,1,fc08179ada02bafdb20aebca0f506fcf18f7e5c20ee6ff24a49c60f650a82a1a,16,0,team__university_of_alabama_birmingham,,correct,1,end,,,BONUS
20260222T202510Z_sy25jed,stanford-college-plus-science-bowl,double_elim,1,fc08179ada02bafdb20aebca0f506fcf18f7e5c20ee6ff24a49c60f650a82a1a,17,0,team__where_is_the_goal_keeper,player__daniel_lu,correct,0,option,5,2,of
20260222T202510Z_sy25jed,stanford-college-plus-science-bowl,double_elim,1,fc08179ada02bafdb20aebca0f506fcf18f7e5c20ee6ff24a49c60f650a82a1a,18,0,team__where_is_the_goal_keeper,,correct,1,end,,,BONUS
20260222T202510Z_sy25jed,stanford-college-plus-science-bowl,double_elim,1,fc08179ada02bafdb20aebca0f506fcf18f7e5c20ee6ff24a49c60f650a82a1a,19,0,team__where_is_the_goal_keeper,player__daniel_lu,correct,0,question,17,,immediately
20260222T202510Z_sy25jed,stanford-college-plus-science-bowl,double_elim,1,fc08179ada02bafdb20aebca0f506fcf18f7e5c20ee6ff24a49c60f650a82a1a,20,0,team__where_is_the_goal_keeper,,incorrect,1,end,,,BONUS
20260222T202510Z_sy25jed,stanford-college-plus-science-bowl,double_elim,1,fc08179ada02bafdb20aebca0f506fcf18f7e5c20ee6ff24a49c60f650a82a1a,21,0,team__university_of_alabama_birmingham,player__akhil_batchu,incorrect,1,end,,,END
20260222T202510Z_sy25jed,stanford-college-plus-science-bowl,double_elim,1,fc08179ada02bafdb20aebca0f506fcf18f7e5c20ee6ff24a49c60f650a82a1a,21,1,team__where_is_the_goal_keeper,player__saahil_dugar,correct,1,end,,,END
20260222T202510Z_sy25jed,stanford-college-plus-science-bowl,double_elim,1,fc08179ada02bafdb20aebca0f506fcf18f7e5c20ee6ff24a49c60f650a82a1a,22,0,team__where_is_the_goal_keeper,,correct,1,end,,,BONUS
20260222T202510Z_sy25jed,stanford-college-plus-science-bowl,double_elim,1,fc08179ada02bafdb20aebca0f506fcf18f7e5c20ee6ff24a49c60f650a82a1a,23,0,team__university_of_alabama_birmingham,player__advik_sharma,correct,0,option,-1,2,Y
20260222T202510Z_sy25jed,stanford-college-plus-science-bowl,double_elim,1,fc08179ada02bafdb20aebca0f506fcf18f7e5c20ee6ff24a49c60f650a82a1a,24,0,team__university_of_alabama_birmingham,,correct,1,end,,,BONUS
20260222T202510Z_sy25jed,stanford-college-plus-science-bowl,double_elim,1,fc08179ada02bafdb20aebca0f506fcf18f7e5c20ee6ff24a49c60f650a82a1a,25,0,team__where_is_the_goal_keeper,player__saahil_dugar,incorrect,0,question,15,,as
20260222T202510Z_sy25jed,stanford-college-plus-science-bowl,double_elim,1,fc08179ada02bafdb20aebca0f506fcf18f7e5c20ee6ff24a49c60f650a82a1a,25,1,team__university_of_alabama_birmingham,player__akhil_batchu,correct,1,end,,,END
20260222T202510Z_sy25jed,stanford-college-plus-science-bowl,double_elim,1,fc08179ada02bafdb20aebca0f506fcf18f7e5c20ee6ff24a49c60f650a82a1a,26,0,team__university_of_alabama_birmingham,,incorrect,1,end,,,BONUS
20260222T202510Z_sy25jed,stanford-college-plus-science-bowl,double_elim,1,fc08179ada02bafdb20aebca0f506fcf18f7e5c20ee6ff24a49c60f650a82a1a,27,0,team__where_is_the_goal_keeper,player__daniel_lu,correct,0,question,12,,DC
20260222T202510Z_sy25jed,stanford-college-plus-science-bowl,double_elim,1,fc08179ada02bafdb20aebca0f506fcf18f7e5c20ee6ff24a49c60f650a82a1a,28,0,team__where_is_the_goal_keeper,,correct,1,end,,,BONUS
20260222T202510Z_sy25jed,stanford-college-plus-science-bowl,double_elim,1,fc08179ada02bafdb20aebca0f506fcf18f7e5c20ee6ff24a49c60f650a82a1a,29,0,team__university_of_alabama_birmingham,player__akhil_batchu,correct,0,option,-1,2,Y
20260222T202510Z_sy25jed,stanford-college-plus-science-bowl,double_elim,1,fc08179ada02bafdb20aebca0f506fcf18f7e5c20ee6ff24a49c60f650a82a1a,30,0,team__university_of_alabama_birmingham,,incorrect,1,end,,,BONUS
20260222T202510Z_sy25jed,stanford-college-plus-science-bowl,double_elim,1,fc08179ada02bafdb20aebca0f506fcf18f7e5c20ee6ff24a49c60f650a82a1a,31,0,team__where_is_the_goal_keeper,player__daniel_lu,incorrect,0,option,1,1,sulfide
20260222T202510Z_sy25jed,stanford-college-plus-science-bowl,double_elim,1,fc08179ada02bafdb20aebca0f506fcf18f7e5c20ee6ff24a49c60f650a82a1a,31,1,team__university_of_alabama_birmingham,player__akhil_batchu,correct,1,end,,,END
20260222T202510Z_sy25jed,stanford-college-plus-science-bowl,double_elim,1,fc08179ada02bafdb20aebca0f506fcf18f7e5c20ee6ff24a49c60f650a82a1a,32,0,team__university_of_alabama_birmingham,,correct,1,end,,,BONUS
20260222T202510Z_sy25jed,stanford-college-plus-science-bowl,double_elim,1,fc08179ada02bafdb20aebca0f506fcf18f7e5c20ee6ff24a49c60f650a82a1a,33,0,team__university_of_alabama_birmingham,player__albert_chen,correct,1,end,,,END
20260222T202510Z_sy25jed,stanford-college-plus-science-bowl,double_elim,1,fc08179ada02bafdb20aebca0f506fcf18f7e5c20ee6ff24a49c60f650a82a1a,34,0,team__university_of_alabama_birmingham,,correct,1,end,,,BONUS
20260222T202510Z_sy25jed,stanford-college-plus-science-bowl,double_elim,1,fc08179ada02bafdb20aebca0f506fcf18f7e5c20ee6ff24a49c60f650a82a1a,35,0,team__where_is_the_goal_keeper,player__saahil_dugar,correct,0,question,31,,distant
